neurons,rho,sigma,init_trr_err,fun,err_tr,jac_norm,err_val
150,1.00E-05,1,2.94187163,0.002978774,0.00027705,3.99E-05,0.000624625
100,1.00E-05,1,3.648804797,0.003028201,0.000258898,3.38E-05,0.00055564
100,1.00E-05,1.1,3.039743796,0.002661806,0.000213934,3.27E-05,0.000575732
100,1.00E-05,1.2,1.404372,0.002407105,0.000188449,4.05E-05,0.000603546
75,1.00E-05,1,2.998395671,0.0029342,0.000255271,3.32E-05,0.00082042
50,1.00E-05,1.2,4.913442601,0.002348615,0.000181807,2.89E-05,0.000658383
50,1.00E-05,1.1,6.048394441,0.002613407,0.000223393,3.33E-05,0.001182284
50,1.00E-05,1,2.626625277,0.002957982,0.000255404,3.12E-05,0.001567935
35,1.00E-05,1.1,1.79788989,0.002677358,0.00022133,3.64E-05,0.000404439
35,1.00E-05,1.2,1.109724601,0.002386192,0.000184053,3.68E-05,0.000506383
35,1.00E-05,1,2.279259706,0.003005355,0.000282307,3.43E-05,0.001654266
35,0.001,1.2,0.622444539,0.085793538,0.035113594,2.34E-05,0.05317351
35,0.001,1,0.996267328,0.100395891,0.041840791,2.51E-05,0.056469512
35,0.001,1.1,0.566908366,0.092731673,0.038973462,2.45E-05,0.069913991
33,1.00E-05,1.1,1.974145135,0.002689916,0.000222146,3.68E-05,0.000484393
33,1.00E-05,1.2,4.619579406,0.002393588,0.000186437,2.77E-05,0.000803674
33,1.00E-05,1,2.221982218,0.002971982,0.000265726,3.16E-05,0.001515415
33,0.001,1,2.465714229,0.100540719,0.039971952,1.98E-05,0.044117965
33,0.001,1.2,7.970282982,0.086468859,0.036873037,2.25E-05,0.053210884
33,0.001,1.1,0.589532116,0.09269214,0.039197039,2.61E-05,0.072427117
32,1.00E-05,1.2,0.862701176,0.002420672,0.000188027,2.80E-05,0.000454391
32,1.00E-05,1.1,1.641963306,0.002705251,0.000208131,3.73E-05,0.000507737
32,1.00E-05,1,2.046510381,0.003051392,0.000270102,3.47E-05,0.000577205
31,1.00E-05,1.2,0.569766268,0.00239956,0.00020626,2.96E-05,0.000567971
31,1.00E-05,1.1,1.003971976,0.002670543,0.000232877,3.30E-05,0.000590234
31,1.00E-05,1,3.046062798,0.002976187,0.000260181,3.24E-05,0.001047804
31,0.001,1.2,0.603978435,0.085804335,0.035781285,1.66E-05,0.05551318
31,0.001,1,3.168626455,0.09901802,0.040070404,2.18E-05,0.059798826
31,0.001,1.1,1.791844443,0.092880093,0.039425729,2.97E-05,0.066677446
30,1.00E-05,1.2,0.836753447,0.002446255,0.000209574,3.00E-05,0.000484747
30,1.00E-05,1,2.897949499,0.003019689,0.000262661,3.78E-05,0.000880422
30,1.00E-05,1.1,1.008959367,0.002679756,0.000244666,3.03E-05,0.000976916
29,1.00E-05,1.2,1.136754912,0.002425815,0.000203139,3.33E-05,0.000398551
29,1.00E-05,1.1,4.388181031,0.002665916,0.000234652,3.75E-05,0.000646783
29,1.00E-05,1,2.007923988,0.002996079,0.000258045,3.27E-05,0.00105121
29,0.001,1.1,1.056275928,0.09184572,0.037773485,1.78E-05,0.05556166
29,0.001,1.2,2.048059031,0.088841662,0.038521132,2.56E-05,0.063670408
29,0.001,1,1.030748145,0.096480496,0.038004901,2.69E-05,0.069603105
28,1.00E-05,1,0.541374137,0.003071114,0.000267971,3.14E-05,0.000362301
28,1.00E-05,1.2,4.429158087,0.002432275,0.000188667,3.25E-05,0.000647783
28,1.00E-05,1.1,5.597876857,0.002691726,0.000232785,3.76E-05,0.000759826
27,1.00E-05,1.2,0.584578744,0.00242246,0.000193336,2.93E-05,0.000439153
27,1.00E-05,1,1.565710074,0.00303176,0.000264805,3.37E-05,0.00049472
27,1.00E-05,1.1,1.094014693,0.00264746,0.000222447,2.84E-05,0.000926337
27,0.001,1.2,0.540858558,0.089066867,0.037522955,2.18E-05,0.038949552
27,0.001,1.1,0.606347414,0.097029782,0.042036779,2.24E-05,0.043511368
27,0.001,1,3.127298875,0.096821363,0.039784551,2.86E-05,0.090678399
26,1.00E-05,1.2,1.996601056,0.002435546,0.000206866,3.09E-05,0.000443898
26,1.00E-05,1.1,1.082598497,0.002699537,0.000239694,3.64E-05,0.000745305
26,1.00E-05,1,0.414045893,0.003041017,0.000278565,2.87E-05,0.00078721
25,1.00E-05,1.2,2.223887291,0.002429125,0.000205836,2.96E-05,0.000508028
25,1.00E-05,1.1,4.325159853,0.002682484,0.000228817,2.36E-05,0.000552644
25,1.00E-05,1,1.267694957,0.003016234,0.000258748,3.02E-05,0.000743547
25,0.001,1,4.945746084,0.10121898,0.040822391,2.65E-05,0.045672295
25,0.001,1.1,1.45704434,0.095538461,0.03893991,2.51E-05,0.049789234
25,0.001,1.2,1.868181366,0.086245723,0.03639143,2.29E-05,0.055912794
24,1.00E-05,1.1,1.077948173,0.002714628,0.000236564,3.11E-05,0.000486472
24,1.00E-05,1,0.853022246,0.003074596,0.000287985,3.10E-05,0.000697132
24,1.00E-05,1.2,3.571652286,0.002439469,0.00020775,2.93E-05,0.00079998
23,1.00E-05,1.2,0.359612493,0.002458603,0.000198908,3.47E-05,0.000442162
23,1.00E-05,1,3.756776517,0.003090743,0.000266403,3.35E-05,0.000467941
23,1.00E-05,1.1,0.955139413,0.002726809,0.000230756,2.96E-05,0.000947458
23,0.001,1.1,1.690517103,0.097151496,0.043048478,2.94E-05,0.041647436
23,0.001,1.2,0.931474881,0.087939203,0.038765161,2.69E-05,0.050338887
23,0.001,1,1.254267047,0.099592203,0.044692122,1.95E-05,0.056732644
22,1.00E-05,1.2,0.700829215,0.002472836,0.00021939,3.32E-05,0.000416153
22,1.00E-05,1.1,0.820714562,0.002726747,0.000235119,2.64E-05,0.000633263
22,1.00E-05,1,1.440152117,0.003069532,0.000273171,2.94E-05,0.000871304
21,1.00E-05,1.2,0.219261538,0.002464653,0.000201342,2.42E-05,0.000479466
21,1.00E-05,1,1.986489716,0.003164574,0.000242197,2.64E-05,0.000582667
21,1.00E-05,1.1,1.472027639,0.002768357,0.000208844,3.20E-05,0.001469132
21,0.001,1.1,2.639379657,0.094473115,0.040068974,2.12E-05,0.043319647
21,0.001,1,0.988915207,0.100781334,0.040946242,1.77E-05,0.046398693
21,0.001,1.2,2.609007655,0.087527288,0.038276291,2.30E-05,0.05497459
20,1.00E-05,1.2,0.373344921,0.002497125,0.000216847,3.05E-05,0.00047071
20,1.00E-05,1.1,1.4094964,0.002773887,0.000238202,3.41E-05,0.000800503
20,1.00E-05,1,1.314784479,0.003070748,0.000284341,3.01E-05,0.001213703
19,1.00E-05,1.1,0.505190869,0.002774169,0.000225562,2.71E-05,0.000487255
19,1.00E-05,1.2,2.169084061,0.002486717,0.000210613,3.26E-05,0.000509857
19,1.00E-05,1,0.284686372,0.003115281,0.000282646,2.69E-05,0.000820473
19,0.001,1.1,0.46803451,0.094655845,0.041696816,2.15E-05,0.050136512
19,0.001,1,0.531991413,0.09961505,0.043353353,2.04E-05,0.075895904
19,0.001,1.2,1.283068475,0.084696566,0.038079615,2.21E-05,0.098311917
18,1.00E-05,1.2,0.391771938,0.002513727,0.000229294,2.14E-05,0.000594677
18,1.00E-05,1.1,1.060022976,0.002806458,0.000259469,2.53E-05,0.000694013
18,1.00E-05,1,1.883899076,0.003128129,0.000286917,2.34E-05,0.001098587
17,1.00E-05,1.2,2.171912735,0.002527189,0.000224902,2.93E-05,0.000530301
17,1.00E-05,1,0.698262453,0.003220115,0.000267914,2.63E-05,0.000585561
17,1.00E-05,1.1,1.9886663,0.002812107,0.000252378,2.47E-05,0.000618073
17,0.001,1.1,2.003003083,0.092540917,0.038954086,2.36E-05,0.057128757
17,0.001,1,0.766167756,0.099420231,0.044007974,2.33E-05,0.062476357
17,0.001,1.2,1.675455814,0.087750816,0.040753109,1.79E-05,0.069892325
16,1.00E-05,1.1,0.350801586,0.002846097,0.000265003,2.99E-05,0.000794904
16,1.00E-05,1.2,1.402843807,0.00256637,0.000250013,2.24E-05,0.000917919
16,1.00E-05,1,0.82415775,0.003173369,0.000299596,2.73E-05,0.002235765
15,1.00E-05,1.1,0.335446731,0.002978177,0.000263741,2.44E-05,0.000459316
15,1.00E-05,1.2,1.64823745,0.002638484,0.000243858,2.22E-05,0.000764849
15,1.00E-05,1,0.590949819,0.003219726,0.000300883,2.40E-05,0.000999993
15,0.001,1.2,1.04550355,0.088543737,0.038848893,2.84E-05,0.051820745
15,0.001,1,0.453333682,0.103364392,0.050483637,1.96E-05,0.064184651
15,0.001,1.1,1.354656342,0.092509026,0.040126213,2.14E-05,0.067554699
14,1.00E-05,1.1,0.694164148,0.002949039,0.000294855,2.51E-05,0.000603815
14,1.00E-05,1.2,2.509800265,0.002642357,0.000252557,2.68E-05,0.000745708
14,1.00E-05,1,0.468156281,0.003280306,0.000313736,2.29E-05,0.001239354
13,1.00E-05,1.1,0.476260148,0.002981872,0.0002691,2.25E-05,0.000425864
13,1.00E-05,1.2,0.319722701,0.002690016,0.000249126,2.41E-05,0.000504355
13,1.00E-05,1,0.670360708,0.003385129,0.000325345,2.13E-05,0.000833598
13,0.001,1.2,1.016341263,0.089312987,0.039659721,2.25E-05,0.050001314
13,0.001,1.1,0.759851722,0.098735567,0.050331735,2.04E-05,0.059092729
13,0.001,1,2.512234398,0.098789671,0.043110435,2.55E-05,0.069856836
12,1.00E-05,1.1,0.622030887,0.003213228,0.000273733,1.70E-05,0.000469627
12,1.00E-05,1.2,0.516345633,0.002944054,0.000242045,2.15E-05,0.000585658
12,1.00E-05,1,0.784171686,0.003417544,0.000328564,2.20E-05,0.001010546
11,1.00E-05,1.1,0.902160377,0.003235908,0.000294115,1.86E-05,0.000450459
11,1.00E-05,1,2.800613522,0.003598577,0.000311557,2.53E-05,0.000648907
11,1.00E-05,1.2,0.352231176,0.003091898,0.000293079,1.86E-05,0.001044101
11,0.001,1.2,0.752604652,0.09045753,0.042619646,2.07E-05,0.057851379
11,0.001,1.1,1.460162806,0.105355005,0.057109261,1.91E-05,0.063264617
11,0.001,1,0.683456839,0.101496027,0.046100899,1.95E-05,0.071139422
10,1.00E-05,1,0.644197195,0.003863334,0.000369431,2.35E-05,0.00055836
10,1.00E-05,1.1,0.474042986,0.003502107,0.000348651,1.53E-05,0.000568477
10,1.00E-05,1.2,1.857861183,0.003473983,0.000689515,2.08E-05,0.003183569
9,1.00E-05,1.1,0.350375622,0.005350773,0.001722064,1.14E-05,0.003143407
9,1.00E-05,1.2,2.7363144,0.006875718,0.003609894,9.71E-06,0.006235815
9,1.00E-05,1,1.910302804,0.01123866,0.007001626,1.23E-05,0.012811432
9,0.001,1,0.563771832,0.105539565,0.05343299,1.91E-05,0.059634035
9,0.001,1.2,0.535850396,0.090909484,0.041383934,1.81E-05,0.059867659
9,0.001,1.1,0.702822911,0.094781175,0.042413104,2.28E-05,0.078121503
7,1.00E-05,1,0.443146307,0.010056479,0.003918011,9.40E-06,0.005068652
7,1.00E-05,1.2,0.207227498,0.019544433,0.016373632,5.39E-06,0.030704194
7,1.00E-05,1.1,0.822412566,0.034160452,0.030446946,5.86E-06,0.066922608
7,0.001,1.1,1.494966723,0.105428312,0.062125025,1.71E-05,0.068087668
7,0.001,1,0.252056642,0.111455665,0.068656418,1.68E-05,0.079031563
7,0.001,1.2,0.76473059,0.101715159,0.064886529,1.83E-05,0.086281273
5,1.00E-05,1.1,0.325354987,0.055171702,0.050910928,9.44E-06,0.06301722
5,1.00E-05,1,0.455063796,0.05565535,0.053119393,6.67E-06,0.066987726
5,1.00E-05,1.2,0.61937426,0.048119794,0.044573222,1.07E-05,0.071081002
5,0.001,1.2,0.222432202,0.111349865,0.070122437,1.15E-05,0.083565252
5,0.001,1,0.838311338,0.119559754,0.08425919,1.54E-05,0.093826056
5,0.001,1.1,0.403955053,0.114847291,0.083669505,9.53E-06,0.120408079
3,1.00E-05,1.1,0.732936588,0.126249668,0.125094738,7.45E-06,0.149667301
3,0.001,1.2,0.465576613,0.174289953,0.140799956,1.07E-05,0.158009535
3,1.00E-05,1.2,1.025967226,0.131292166,0.130161578,7.54E-06,0.159674702
3,0.001,1.1,0.324991898,0.17386217,0.137962186,7.83E-06,0.170234996
3,0.001,1,0.301633819,0.17336999,0.137577574,1.11E-05,0.180294913
3,1.00E-05,1,0.324117918,0.122083229,0.118655257,7.60E-06,0.201045353
2,1.00E-05,1.1,0.56982598,0.235571647,0.230010559,1.20E-05,0.226003764
2,1.00E-05,1,0.696103237,0.23388834,0.228417225,1.56E-05,0.232801898
2,1.00E-05,1.2,0.684743254,0.230134578,0.225218807,8.44E-06,0.253160457
2,0.001,1.2,0.531978033,0.338637244,0.276312582,3.92E-06,0.329058326
2,0.001,1.1,0.681628191,0.527118882,0.516026528,4.96E-06,0.504519476
2,0.001,1,0.896382936,0.525207064,0.514011338,8.36E-06,0.513913062
1,1.00E-05,1.1,0.831141756,0.648026773,0.647937937,4.57E-06,0.617472347
1,0.001,1.1,0.672047779,0.602800346,0.594725498,7.53E-06,0.639053699
1,1.00E-05,1,0.783791039,0.639827871,0.639722701,7.56E-06,0.653391945
1,0.001,1.2,0.83430741,0.643755912,0.63710725,2.63E-06,0.668570224
1,0.001,1,0.648060094,0.642161346,0.6341632,4.17E-06,0.675552776
1,1.00E-05,1.2,0.716518329,0.614663566,0.614585406,3.49E-06,0.748208601
